00:20:21 procs=4 display=ok total=20/360 | none:7/90(exp 0) | raw_memory:4/90(exp 0) | ace_context:4/90(exp 0) | worldmind:5/90(exp 0)
00:21:21 procs=4 display=ok total=21/360 | none:8/90(exp 0) | raw_memory:4/90(exp 0) | ace_context:4/90(exp 0) | worldmind:5/90(exp 0)
00:22:22 procs=4 display=ok total=21/360 | none:8/90(exp 0) | raw_memory:4/90(exp 0) | ace_context:4/90(exp 0) | worldmind:5/90(exp 0)
00:23:22 procs=4 display=ok total=21/360 | none:8/90(exp 0) | raw_memory:4/90(exp 0) | ace_context:4/90(exp 0) | worldmind:5/90(exp 0)
00:24:22 procs=4 display=ok total=22/360 | none:8/90(exp 0) | raw_memory:5/90(exp 0) | ace_context:4/90(exp 0) | worldmind:5/90(exp 0)
00:25:23 procs=4 display=ok total=22/360 | none:8/90(exp 0) | raw_memory:5/90(exp 0) | ace_context:4/90(exp 0) | worldmind:5/90(exp 0)
00:26:23 procs=4 display=ok total=22/360 | none:8/90(exp 0) | raw_memory:5/90(exp 0) | ace_context:4/90(exp 0) | worldmind:5/90(exp 0)
00:27:23 procs=4 display=ok total=22/360 | none:8/90(exp 0) | raw_memory:5/90(exp 0) | ace_context:4/90(exp 0) | worldmind:5/90(exp 0)
00:28:23 procs=4 display=ok total=23/360 | none:8/90(exp 0) | raw_memory:5/90(exp 0) | ace_context:5/90(exp 0) | worldmind:5/90(exp 0)
00:29:24 procs=4 display=ok total=24/360 | none:9/90(exp 0) | raw_memory:5/90(exp 0) | ace_context:5/90(exp 0) | worldmind:5/90(exp 0)
00:30:24 procs=4 display=ok total=24/360 | none:9/90(exp 0) | raw_memory:5/90(exp 0) | ace_context:5/90(exp 0) | worldmind:5/90(exp 0)
00:31:24 procs=4 display=ok total=25/360 | none:9/90(exp 0) | raw_memory:5/90(exp 0) | ace_context:5/90(exp 0) | worldmind:6/90(exp 0)
00:32:24 procs=4 display=ok total=26/360 | none:9/90(exp 0) | raw_memory:6/90(exp 0) | ace_context:5/90(exp 0) | worldmind:6/90(exp 0)
00:33:24 procs=4 display=ok total=26/360 | none:9/90(exp 0) | raw_memory:6/90(exp 0) | ace_context:5/90(exp 0) | worldmind:6/90(exp 0)
00:34:24 procs=4 display=ok total=27/360 | none:10/90(exp 0) | raw_memory:6/90(exp 0) | ace_context:5/90(exp 0) | worldmind:6/90(exp 0)
00:35:24 procs=4 display=ok total=29/360 | none:10/90(exp 0) | raw_memory:6/90(exp 0) | ace_context:6/90(exp 0) | worldmind:7/90(exp 0)
00:36:25 procs=4 display=ok total=30/360 | none:11/90(exp 0) | raw_memory:6/90(exp 0) | ace_context:6/90(exp 0) | worldmind:7/90(exp 0)
00:37:25 procs=4 display=ok total=32/360 | none:11/90(exp 0) | raw_memory:7/90(exp 0) | ace_context:6/90(exp 0) | worldmind:8/90(exp 0)
00:38:25 procs=4 display=ok total=33/360 | none:11/90(exp 0) | raw_memory:7/90(exp 0) | ace_context:7/90(exp 0) | worldmind:8/90(exp 0)
00:39:25 procs=4 display=ok total=34/360 | none:11/90(exp 0) | raw_memory:7/90(exp 0) | ace_context:7/90(exp 0) | worldmind:9/90(exp 0)
00:40:25 procs=4 display=ok total=35/360 | none:12/90(exp 0) | raw_memory:7/90(exp 0) | ace_context:7/90(exp 0) | worldmind:9/90(exp 0)
00:41:25 procs=4 display=ok total=36/360 | none:12/90(exp 0) | raw_memory:7/90(exp 0) | ace_context:7/90(exp 0) | worldmind:10/90(exp 0)
00:42:25 procs=4 display=ok total=38/360 | none:13/90(exp 0) | raw_memory:8/90(exp 0) | ace_context:7/90(exp 0) | worldmind:10/90(exp 0)
00:43:26 procs=4 display=ok total=38/360 | none:13/90(exp 0) | raw_memory:8/90(exp 0) | ace_context:7/90(exp 0) | worldmind:10/90(exp 0)
00:44:26 procs=4 display=ok total=41/360 | none:14/90(exp 0) | raw_memory:8/90(exp 0) | ace_context:8/90(exp 0) | worldmind:11/90(exp 0)
00:45:26 procs=4 display=ok total=42/360 | none:15/90(exp 0) | raw_memory:8/90(exp 0) | ace_context:8/90(exp 0) | worldmind:11/90(exp 0)
00:46:26 procs=4 display=ok total=44/360 | none:16/90(exp 0) | raw_memory:8/90(exp 0) | ace_context:8/90(exp 0) | worldmind:12/90(exp 0)
00:47:26 procs=4 display=ok total=44/360 | none:16/90(exp 0) | raw_memory:8/90(exp 0) | ace_context:8/90(exp 0) | worldmind:12/90(exp 0)
00:48:26 procs=4 display=ok total=46/360 | none:16/90(exp 0) | raw_memory:8/90(exp 0) | ace_context:9/90(exp 0) | worldmind:13/90(exp 0)
00:49:26 procs=4 display=ok total=48/360 | none:17/90(exp 0) | raw_memory:9/90(exp 0) | ace_context:9/90(exp 0) | worldmind:13/90(exp 0)
00:50:27 procs=4 display=ok total=49/360 | none:17/90(exp 0) | raw_memory:9/90(exp 0) | ace_context:9/90(exp 0) | worldmind:14/90(exp 0)
00:51:27 procs=4 display=ok total=50/360 | none:17/90(exp 0) | raw_memory:9/90(exp 0) | ace_context:10/90(exp 0) | worldmind:14/90(exp 0)
00:52:27 procs=4 display=ok total=53/360 | none:18/90(exp 0) | raw_memory:10/90(exp 0) | ace_context:10/90(exp 0) | worldmind:15/90(exp 0)
00:53:27 procs=4 display=ok total=55/360 | none:18/90(exp 0) | raw_memory:10/90(exp 0) | ace_context:12/90(exp 0) | worldmind:15/90(exp 0)
00:54:27 procs=4 display=ok total=58/360 | none:19/90(exp 0) | raw_memory:11/90(exp 0) | ace_context:12/90(exp 0) | worldmind:16/90(exp 0)
00:55:27 procs=4 display=ok total=59/360 | none:19/90(exp 0) | raw_memory:12/90(exp 0) | ace_context:12/90(exp 0) | worldmind:16/90(exp 0)
00:56:27 procs=4 display=ok total=60/360 | none:19/90(exp 0) | raw_memory:12/90(exp 0) | ace_context:13/90(exp 0) | worldmind:16/90(exp 0)
00:57:28 procs=4 display=ok total=62/360 | none:19/90(exp 0) | raw_memory:12/90(exp 0) | ace_context:14/90(exp 0) | worldmind:17/90(exp 0)
00:58:28 procs=4 display=ok total=62/360 | none:19/90(exp 0) | raw_memory:12/90(exp 0) | ace_context:14/90(exp 0) | worldmind:17/90(exp 0)
00:59:28 procs=4 display=ok total=65/360 | none:20/90(exp 0) | raw_memory:13/90(exp 0) | ace_context:15/90(exp 0) | worldmind:17/90(exp 0)
01:00:28 procs=4 display=ok total=66/360 | none:20/90(exp 0) | raw_memory:14/90(exp 0) | ace_context:15/90(exp 0) | worldmind:17/90(exp 0)
01:01:28 procs=4 display=ok total=69/360 | none:20/90(exp 0) | raw_memory:15/90(exp 0) | ace_context:16/90(exp 0) | worldmind:18/90(exp 0)
01:02:28 procs=4 display=ok total=69/360 | none:20/90(exp 0) | raw_memory:15/90(exp 0) | ace_context:16/90(exp 0) | worldmind:18/90(exp 0)
01:03:28 procs=4 display=ok total=71/360 | none:21/90(exp 0) | raw_memory:15/90(exp 0) | ace_context:16/90(exp 0) | worldmind:19/90(exp 0)
01:04:29 procs=4 display=ok total=73/360 | none:21/90(exp 0) | raw_memory:16/90(exp 0) | ace_context:17/90(exp 0) | worldmind:19/90(exp 0)
01:05:29 procs=4 display=ok total=73/360 | none:21/90(exp 0) | raw_memory:16/90(exp 0) | ace_context:17/90(exp 0) | worldmind:19/90(exp 0)
01:06:29 procs=4 display=ok total=75/360 | none:22/90(exp 0) | raw_memory:17/90(exp 0) | ace_context:17/90(exp 0) | worldmind:19/90(exp 0)
01:07:29 procs=4 display=ok total=75/360 | none:22/90(exp 0) | raw_memory:17/90(exp 0) | ace_context:17/90(exp 0) | worldmind:19/90(exp 0)
01:08:29 procs=4 display=ok total=75/360 | none:22/90(exp 0) | raw_memory:17/90(exp 0) | ace_context:17/90(exp 0) | worldmind:19/90(exp 0)
01:09:29 procs=4 display=ok total=76/360 | none:23/90(exp 0) | raw_memory:17/90(exp 0) | ace_context:17/90(exp 0) | worldmind:19/90(exp 0)
01:10:30 procs=4 display=ok total=79/360 | none:24/90(exp 0) | raw_memory:17/90(exp 0) | ace_context:18/90(exp 0) | worldmind:20/90(exp 0)
01:11:30 procs=4 display=ok total=81/360 | none:24/90(exp 0) | raw_memory:18/90(exp 0) | ace_context:18/90(exp 0) | worldmind:21/90(exp 0)
01:12:30 procs=4 display=ok total=82/360 | none:24/90(exp 0) | raw_memory:18/90(exp 0) | ace_context:19/90(exp 0) | worldmind:21/90(exp 0)
01:13:30 procs=4 display=ok total=83/360 | none:25/90(exp 0) | raw_memory:18/90(exp 0) | ace_context:19/90(exp 0) | worldmind:21/90(exp 0)
01:14:30 procs=4 display=ok total=85/360 | none:25/90(exp 0) | raw_memory:19/90(exp 0) | ace_context:19/90(exp 0) | worldmind:22/90(exp 0)
01:15:30 procs=4 display=ok total=86/360 | none:25/90(exp 0) | raw_memory:19/90(exp 0) | ace_context:19/90(exp 0) | worldmind:23/90(exp 0)
